sample	contig_count	contig_count_lt1000	multi_median	len_min	len_median	len_max	flag_1	flag_3	flag_0
ABM007.A	22898	2436	4	200	461	16441	22865	33	NA
ABM008.A	716	12	2	200	232	4829	714	2	NA
BIT001.A	6718	440	3	276	418	16651	6706	12	NA
Chimp	148	1	10	237	265.5	1051	147	1	NA
DJA002.A	27023	2340	4	201	353	17226	27010	13	NA
DJA006.A	3282	704	3	201	386	79532	3259	23	NA
DJA007.A	25556	2634	4	202	423	9177	25528	28	NA
DM_002	194338	33534	4	220	488	51396	194099	192	47
DM_003	38391	5770	3	270	447	48954	38342	49	NA
DM_004	52771	5449	4	270	436	20661	52713	58	NA
DM_005	101365	17317	4	234	481	85569	101193	94	78
DM_006	28240	3778	4	271	457	59098	28211	29	NA
DM_007	13225	1170	3	270	424	9522	13193	30	2
DM_008	83969	14340	4	269	470	120198	83870	86	13
DM_009	23008	2212	4	276	460	16019	22987	21	NA
DM_010	84365	17553	4	237	497	142009	84224	99	42
DM_011	18761	3308	5	270	460	21034	18736	25	NA
DM_012	128452	27314	4	216	494	98955	128179	182	91
DM_013	95542	13841	4	270	463	69546	95406	100	36
DM_014	21982	758	3	207	404	7186	21865	56	61
DM_015	49691	4087	3	270	432	19794	49639	52	NA
DM_016	86312	22161	5	216	550	140514	86194	101	17
DM_019	51314	7163	4	257	460	65594	51264	50	NA
DM_020	92741	21817	4	222	520	239205	92653	78	10
DM_021	90203	15015	4	269	471	140399	90081	116	6
DM_022	116366	33276	5	261	595	94628	116209	117	40
DM_026	68724	10668	3	257	466	254044	68419	65	240
DM_027	23560	5165	4	279	479	74922	23531	15	14
DM_028	12325	1970	3	271	405	96227	12310	15	NA
DM_029	13184	3699	6	287	515	119700	13165	16	3
DM_C01	56	0	2.0155	269	381.5	955	45	11	NA
EB2	26848	2207	2	263	471	19395	26783	53	12
EBO001.A	23113	4053	5	201	472	29281	23093	20	NA
EBO003.A	21485	2788	5	204	448	155053	21462	23	NA
EBO008.A	16260	1616	4	205	416	11775	16193	67	NA
EBO009.A	2766	6	3	200	257	2714	2765	1	NA
EB_20	1	0	2	212	212	212	1	NA	NA
EB_21	1	0	2	235	235	235	1	NA	NA
EB_25_2	1	0	2	264	264	264	1	NA	NA
EB_28	1	0	2	213	213	213	1	NA	NA
EB_7_1	7	0	2	204	228	615	7	NA	NA
F1	32021	4905	2	201	464	193050	30949	111	961
F10	22061	4872	3	202	504	247500	20973	140	948
F2	48781	5139	2	200	437	424048	47407	213	1161
F3	39161	6328	2	200	465	192241	37512	162	1487
F4	78599	5587	2	200	419	301855	77653	413	533
F5	26452	5124	2	201	479	295623	25564	189	699
F6	27071	4050	3	204	456	100586	26714	91	266
F7	13119	2505	3	208	473	262048	12809	59	251
F8	31774	2654	2	202	407	246752	31195	318	261
F9	17616	1683	2	203	426	421106	17216	123	277
G0001	69469	8626	3	272	451	33986	69370	99	NA
G0005	34664	1971	3	270	391	39702	34596	68	NA
G0008	5804	473	3	269	369	39159	5782	22	NA
G0010	12501	4459	5	271	609	34085	12468	33	NA
G0011	32240	5082	3	271	436	106777	32175	63	2
G0017	3375	140	4	205	432	9255	3322	53	NA
G0018	10942	1621	4	279	439	39546	10926	16	NA
G0019	7044	779	4	272	436	30499	7034	10	NA
G0021	15041	1671	4	270	430	70368	15019	22	NA
G0026	9491	1776	4	270	477	17520	9456	33	2
G0033	6373	119	5	235	328	2252	6371	2	NA
G0034	18024	2902	4	269	429	25805	17941	83	NA
GDC002.A	12755	1340	3	247	400	22690	12738	17	NA
GDC004.A	47522	2094	4	274	419	44625	47503	19	NA
GDC005.A	12501	94	3	200	301	3878	12493	8	NA
HM_001	14667	1803	4	273	432	21209	14641	26	NA
HM_002	590	18	4	205	358	2701	578	12	NA
HM_003	4644	1744	5	276	763	13857	4637	7	NA
HM_004	37690	3977	4	269	457	62076	37594	84	12
HM_006	44125	6028	4	200	471	87283	44053	60	12
HM_008	1	0	2	211	211	211	1	NA	NA
HM_009	181	4	6	301	376	1538	168	13	NA
HM_010	36825	5311	6	274	450	30434	36786	39	NA
HM_011	48949	8091	5	270	449	33923	48894	55	NA
HM_012	14988	2742	5	269	501	43783	14959	29	NA
HM_014	2528	134	6	207	448	2557	2519	9	NA
HM_017	3	0	6	221	236	318	3	NA	NA
HM_018	298	8	5	219	383	9092	295	3	NA
HM_020	869	15	6	211	362	2821	859	10	NA
HM_021	1259	803	43	280	1612	95297	1254	5	NA
HM_022	7153	1282	6	205	472	25810	7134	19	NA
HM_023	878	571	33	207	1818	31209	867	11	NA
HM_024	14129	1632	4	269	417	210320	14106	23	NA
HM_026	5100	1240	12	205	526	18530	5082	18	NA
HM_028	2038	983	12	276	944	22969	2035	3	NA
HM_029	2378	957	19	300	821	20751	2375	3	NA
HM_030	1455	967	42	301	1872	37535	1454	1	NA
HM_031	38362	6775	4	270	460	47113	38325	31	6
HM_032	19184	1239	4	269	417	7320	19154	30	NA
HM_033	39932	8173	5	210	483	68821	39851	61	20
HM_036	28796	7751	5	270	554	129276	28768	28	NA
HM_037	16167	2174	4	273	442	15383	16151	16	NA
HM_038	69	2	3	201	246	3331	67	2	NA
HM_039	37687	6088	5	273	480	44404	37672	9	6
HM_040	17638	1655	4	269	414	21932	17608	30	NA
HM_043	1018	237	4	272	415.5	70284	1014	4	NA
HM_048	12825	3647	6	276	565	69989	12811	14	NA
HM_050	13338	1614	4	273	438.5	186274	13308	30	NA
HM_053	1119	543	11	205	925	47840	1101	18	NA
HM_054	11211	1023	4	273	392	67118	11190	21	NA
HM_055	127	13	3	301	393	2818	126	1	NA
HM_057	20251	2724	6	294	473	10803	20238	13	NA
HM_058	168	4	4	284	349	1463	164	4	NA
HM_059	14532	4838	8	271	654	39845	14525	7	NA
HM_060	4597	1068	3	239	435	195311	4552	19	26
HM_061	13256	2005	4	209	459	19925	13176	17	63
HM_062	6930	2562	6	273	635.5	107129	6914	16	NA
HM_063	33434	3943	4	244	451	143085	33380	48	6
HM_064	6669	1854	3	258	465	125524	6630	14	25
HM_065	5910	1222	4	269	415	80157	5894	13	3
HM_066	30601	2472	3	270	394	149639	30577	20	4
HM_067	21274	2837	4	278	431	177803	21231	43	NA
HM_070	31889	1162	3	269	394	11331	31807	82	NA
HM_071	9254	1001	4	280	432.5	36915	9236	18	NA
HM_074	18883	5583	6	269	574	114927	18853	30	NA
HM_075	5055	1463	5	269	661	18575	5043	12	NA
HM_076	31765	5904	5	270	450	37623	31723	42	NA
HM_077	48077	8962	4	279	476	36312	48037	40	NA
HM_078	100181	19358	6	229	508	67394	100093	73	15
HM_080	53246	11389	5	270	521	52796	53187	56	3
HM_081	121125	23589	4	218	494	151480	120827	160	138
HM_083	51877	8528	4	280	478	94443	51826	51	NA
HM_084	85439	20412	5	243	546	109454	85284	93	62
HM_085	101738	19944	4	202	487	209584	101549	114	75
HM_086	6564	68	3	272	385	2020	6543	21	NA
HM_088	83583	15372	5	269	498	52851	83515	60	8
HM_089	67656	10832	5	279	481	47718	67601	55	NA
HM_090	81767	18215	5	271	526	78299	81670	95	2
HM_091	53	0	2	204	258	484	52	1	NA
IBA002.A	27692	5357	4	270	481	28363	27657	35	NA
KNP001.A	109082	27447	5	269	545	198905	108981	101	NA
KNP004.A	126648	31059	4	269	543	224008	126527	121	NA
KNP009.A	152528	34923	4	269	532	219393	152433	95	NA
Lib_blank	103	4	2	277	373	1196	95	8	NA
MS_004	68719	6880	5	270	465	114960	68661	58	NA
MS_005	30451	6030	4	206	514	179035	30306	72	73
MS_009	16098	1149	4	273	440	113958	16077	21	NA
MS_010	49536	6300	5	269	449	61311	49498	38	NA
MS_011	111735	24048	4	204	512	150850	110884	139	712
MS_018	110597	21531	4	270	501	93880	110470	119	8
MS_020	171210	29184	3	240	493	98535	170743	170	297
