OralH,OralMM,OralTM,Rumen,Sediment/Soil,Skin,Unknown,Running time (s),Sink,decOM_max,p_OralH,p_OralMM,p_OralTM,p_Rumen,p_Sediment/Soil,p_Skin,p_Unknown
368988,240,3406,1884,5611,2157,21379,3681.5178,ABM007,OralH,91.4095,0.0595,0.8438,0.4667,1.39,0.5344,5.2962
59466,66,496,314,744,141,1670,22.6573,ABM008,OralH,94.545,0.1049,0.7886,0.4992,1.1829,0.2242,2.6551
74735,442,3916,873,32945,10281,14669,49.0674,BIT001,OralH,54.2104,0.3206,2.8405,0.6332,23.8973,7.4575,10.6404
88732,45,1156,349,931,401,6938,21.6827,Chimp,OralH,90.0357,0.0457,1.173,0.3541,0.9447,0.4069,7.0399
422152,433,11118,1881,4771,1799,20154,35.9661,DJA002,OralH,91.314,0.0937,2.4049,0.4069,1.032,0.3891,4.3594
178492,183,2117,1440,5642,975,16143,32.0245,DJA006,OralH,87.0727,0.0893,1.0327,0.7025,2.7523,0.4756,7.8749
602216,358,5258,2952,4691,1134,23094,37.063,DJA007,OralH,94.1399,0.056,0.8219,0.4615,0.7333,0.1773,3.6101
446806,2259,114282,11359,25520,15015,273314,171.603,DM_002,OralH,50.2846,0.2542,12.8616,1.2784,2.8721,1.6898,30.7594
81003,351,14876,7526,3222,473,54260,47.9357,DM_003,OralH,50.0912,0.2171,9.1991,4.654,1.9924,0.2925,33.5537
87010,850,16409,6303,9965,4574,66154,48.4944,DM_004,OralH,45.4919,0.4444,8.5792,3.2954,5.21,2.3914,34.5876
405111,1516,68136,13216,16405,5543,183779,168.779,DM_005,OralH,58.3981,0.2185,9.822,1.9051,2.3648,0.799,26.4923
49811,890,11625,2171,6586,5661,44924,40.3878,DM_006,OralH,40.9401,0.7315,9.5547,1.7844,5.4131,4.6528,36.9234
16012,420,5262,1062,2473,2964,17289,26.2367,DM_007,Unknown,35.2051,0.9234,11.5694,2.335,5.4373,6.5169,38.0128
116215,1651,32419,6212,11349,9977,127641,86.9487,DM_008,Unknown,38.0454,0.5405,10.613,2.0336,3.7153,3.2662,41.7859
32342,417,16817,2676,7099,3204,22384,31.3187,DM_009,OralH,38.0767,0.4909,19.7989,3.1505,8.3578,3.7721,26.353
115234,1570,23316,5598,12865,7495,159897,119.2575,DM_010,Unknown,35.3506,0.4816,7.1527,1.7173,3.9466,2.2993,49.0519
33670,694,7794,1321,2261,4027,35813,39.3648,DM_011,Unknown,39.3433,0.8109,9.1073,1.5436,2.642,4.7055,41.8474
131805,1795,31943,5972,15250,14313,201103,122.0264,DM_012,Unknown,32.7726,0.4463,7.9424,1.4849,3.7918,3.5588,50.0031
121652,1810,36689,6583,11031,9997,117311,72.7258,DM_013,OralH,39.8764,0.5933,12.0263,2.1578,3.6159,3.2769,38.4534
112488,1081,22707,3020,9572,11573,33807,44.1505,DM_014,OralH,57.9095,0.5565,11.6897,1.5547,4.9277,5.9578,17.404
82271,1131,20739,4268,9579,5408,57784,41.1754,DM_015,OralH,45.4084,0.6242,11.4466,2.3557,5.287,2.9849,31.8931
770780,1482,92995,13212,21664,8833,189116,170.2858,DM_016,OralH,70.1933,0.135,8.4689,1.2032,1.9729,0.8044,17.2224
0,0,0,0,0,0,0,16.7814,DM_017,TIE,,,,,,,
80768,1142,19751,4401,13080,7059,70531,55.7557,DM_019,OralH,41.0548,0.5805,10.0395,2.2371,6.6486,3.5881,35.8513
145723,1677,22847,6934,19871,11393,166220,134.0212,DM_020,Unknown,38.8942,0.4476,6.098,1.8507,5.3037,3.0408,44.365
381870,1590,84059,8684,18816,29370,120322,91.9172,DM_021,OralH,59.2312,0.2466,13.0382,1.347,2.9185,4.5555,18.6629
