Species,habitat.general,digestion,biogeography,molar_category,mc_source,hypsodonty_index,hi_source
Alouatta palliata,Terrestrial,Other,Neotropical,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Camelus dromedarius,Terrestrial,Pseudoruminant,Palearctic,hypsodont,"Ungar 2010, Renvoisé & Michon 2014",2.52,Janis 1988
Capreolus capreolus,Terrestrial,Ruminant,Palearctic,brachydont,Berkovitz 2018,1.49,Janis 1988
Cephalophus silvicultor,Terrestrial,Ruminant,Afrotropical,hypsodont,based on hypsodonty index,2.23,Janis 1988
Ceratotherium simum,Terrestrial,Other,Afrotropical,hypsodont,Berkovitz 2018,3.9,Janis 1988
Cuniculus paca,Terrestrial,Other,Neotropical,hypsodont,"Ungar 2010, Renvoisé & Michon 2014",,
Diceros bicornis,Terrestrial,Other,Afrotropical,hypsodont,"Ungar 2010, Renvoisé & Michon 2014",2.24,Janis 1988
Dugong dugon,Marine,Other,Indomalayan,hypselodont,Berkovitz 2018,,
Equus quagga,Terrestrial,Other,Afrotropical,hypsodont,Berkovitz 2018,5.83,Janis 1988
Equus caballus,Terrestrial,Other,Palearctic,hypsodont,Berkovitz 2018,7.64,Janis 1988
Giraffa camelopardalis,Terrestrial,Ruminant,Afrotropical,brachydont,Berkovitz 2018,1.2,Janis 1988
Gorilla beringei,Terrestrial,Other,Afrotropical,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Gorilla gorilla,Terrestrial,Other,Afrotropical,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Hippopotamus amphibius,Terrestrial,Pseudoruminant,Afrotropical,,,1.91,Janis 1988
Loxodonta africana,Terrestrial,Other,Afrotropical,hypsodont,Berkovitz 2018,2.5,Janis 1988
Macropus giganteus,Terrestrial,Other,Australasian,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Marmota marmota,Terrestrial,Other,Palearctic,hypsodont,"Ungar 2010, Renvoisé & Michon 2014",,
Meles meles,Terrestrial,Other,Palearctic,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Muntiacus muntjak,Terrestrial,Ruminant,Indomalayan,brachydont,Berkovitz 2018,1.81,Janis 1988
Okapia johnstoni,Terrestrial,Ruminant,Afrotropical,brachydont,Berkovitz 2018,1.18,Janis 1988
Orcinus orca,Marine,Other,Arctic,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Otaria flavescens,Marine,Other,Neotropical,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Ovis ammon,Terrestrial,Ruminant,Palearctic,hypsodont,Berkovitz 2018,4.11,Janis 1988
Ovis aries,Terrestrial,Ruminant,,hypsodont,Berkovitz 2018,4.11,Janis 1988
Pan troglodytes,Terrestrial,Other,Afrotropical,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Papio anubis,Terrestrial,Other,Afrotropical,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Piliocolobus foai,Terrestrial,Other,Afrotropical,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Pongo pygmaeus,Terrestrial,Other,Indomalayan,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
Rangifer tarandus,Terrestrial,Ruminant,Palearctic,brachydont,based on hypsodonty index,1.52,Janis 1988
Rupicapra rupicapra,Terrestrial,Ruminant,Palearctic,hypsodont,based on hypsodonty index,4.19,Janis 1988
Sus scrofa,Terrestrial,Other,Palearctic,brachydont,Berkovitz 2018,1.28,Janis 1988
Sus domesticus,Terrestrial,Other,,brachydont,Berkovitz 2018,1.28,Janis 1988
Syncerus caffer,Terrestrial,Ruminant,Afrotropical,hypsodont,based on hypsodonty index,3,Janis 1988
Acrocodia indica,Terrestrial,Other,Indomalayan,brachydont,Berkovitz 2018,0.76,Janis 1988
Ursus arctos,Terrestrial,Other,Palearctic,brachydont,"Ungar 2010, Renvoisé & Michon 2014",,
