,x
Alouatta palliata,#F88371
Camelus dromedarius,#3BB68E
Capreolus capreolus,#5FC582
Cephalophus silvicultor,#056238
Ceratotherium simum,#7B65BB
Cuniculus paca,#F4D73B
Diceros bicornis,#392282
Dugong dugon,#07406B
Environmental control,#000000
Equus quagga,#45419E
Equus caballus,#161364
Extraction blank,#2C2C2C
Giraffa camelopardalis,#066827
Gorilla beringei,#E28948
Gorilla gorilla,#8F4108
Hippopotamus amphibius,#14A878
Library blank,#494949
Loxodonta africana,#6D7380
Macropus giganteus,#820C93
Marmota marmota,#B39803
Meles meles,#8C0040
Muntiacus muntjak,#34A55A
Okapia johnstoni,#00501B
Orcinus orca,#00875B
Otaria flavescens,#B50E5A
Ovibos moschatus,#1D3C00
Ovis ammon,#168251
Ovis aries,#5BBC90
Pan troglodytes,#BD6320
Papio anubis,#8F2D08
Piliocolobus foai,#E27248
Pongo pygmaeus,#BD4A20
Rangifer tarandus,#178A3E
Rupicapra rupicapra,#319C6B
Sus scrofa,#005338
Sus domesticus,#006745
Syncerus caffer,#00361D
Acrocodia indica,#24334B
Ursus arctos,#64002E
