lineage	min	q1	mean	median	q3	max
1;2;114;524;1832;6037;25953;121470*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;114;524;2507;9907;28282*;109858*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;117;648;2813;7771;22251;116229*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;117;648;2813;7771;23371;125503	0.51	0.51	0.51	0.51	0.51	0.51
1;2;117;648;2813;7771;25415;174663*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;117;648;2813;7771;34260;151508	0.51	0.51	0.51	0.51	0.51	0.51
1;2;117;648;2813;7771;42564;97218*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;125;556*;2657*;8717*;37270*;146062*	0.293	0.293	0.293	0.293	0.293	0.293
1;2;145;931;1838;9836;25269;86527*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;145;931;2082;5697;33492;127615*	0.0	0.17525	0.5541666666666667	0.586	0.99	0.99
1;2;145;931;2082;5697;41261;112256	0.99	0.99	0.99	0.99	0.99	0.99
1;2;145;931;2388;5064;33359;172861	0.273	0.6315	0.751	0.99	0.99	0.99
1;2;145;931;2388;5064;43197;98857*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;145;931;2690;10426;34519;188303	0.99	0.99	0.99	0.99	0.99	0.99
1;2;145;931;2690;5096;33785;159317	0.99	0.99	0.99	0.99	0.99	0.99
1;2;145;931;2690;5096;33785;188697	0.99	0.99	0.99	0.99	0.99	0.99
1;2;145;931;2690;7691;42126;117260	0.075	0.075	0.075	0.075	0.075	0.075
1;2;145;931;2690;8896;34478;191739	0.99	0.99	0.99	0.99	0.99	0.99
1;2;145;931;2690;8971;31569*;187216*	0.182	0.27925	0.5925	0.584	0.90675	0.99
1;2;145;931;2690;8993;37385*;120085*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;145;931;2690;9150;29565;127665	0.99	0.99	0.99	0.99	0.99	0.99
1;2;145;931;2690;9353;43271;178222*	0.0	0.0	0.0	0.0	0.0	0.0
1;2;145;931;2690;9395;26747;106020	0.99	0.99	0.99	0.99	0.99	0.99
1;2;145;931;2690;9397;29928;146527*	0.0	0.45899999999999996	0.648	0.8009999999999999	0.99	0.99
1;2;145;931;2690;9397;41573;162322*	0.182	0.182	0.182	0.182	0.182	0.182
1;2;145;931;2690;9404;25035;100217	0.179	0.2495	0.32	0.32	0.3905	0.461
1;2;145;931;2781;5576*;44128*;163163*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;1005;1534;5766;24317;187172*	0.298	0.471	0.644	0.644	0.817	0.99
1;2;172;1005;2569;10443;40993;129544*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;1005;2569;5080;27669;191012	0.197	0.39525	0.5935	0.5935	0.79175	0.99
1;2;172;1005;2569;5080;29445;80945	0.123	0.164	0.5694	0.58	0.99	0.99
1;2;172;1005;2569;5080;42657;103283	0.0	0.644	0.7497142857142858	0.99	0.99	0.99
1;2;172;1005;2569;5548;23967;98257*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;1005;2569;5548;42004;137183	0.37	0.37	0.37	0.37	0.37	0.37
1;2;172;1005;2569;5548;42004;150768	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;1005;2569;6819;24141;125842*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;1005;2569;6819;32270;104147*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;1005;2569;7894;21435;171326	0.99	0.99	0.99	0.99	0.99	0.99
1;2;172;1005;2569;7894;22448;118755	0.085	0.085	0.085	0.085	0.085	0.085
1;2;172;1005;2569;7894;27100;124482	0.002	0.002	0.002	0.002	0.002	0.002
1;2;172;1005;2569;7894;39013;127235*	0.428	0.428	0.428	0.428	0.428	0.428
1;2;172;1005;2569;7894;40757;162018	0.359	0.359	0.359	0.359	0.359	0.359
1;2;172;1005;2569;7894;43369;185009*	0.262	0.5	0.7459999999999999	0.99	0.99	0.99
