"Ext.ID","Museum.Institution","Sampling.date","Catalogue.accession","Species","Collection.notes","Sex","Age","Year","Country","Region","Locality","Oral.health","Sample.collected.from","Ext.Date","Sample.weight..g.","Qubit.concentration..ng.ul.","Qubit.date","Ext.comments","LP.date","Extract.vol.used","LP_BC_p5","LP_BC_p7","P5.Index","P7.Index","LP.copies","Ind.date","LP.vol.used","Ind.cycles","Ind.copies","Pool","Pooled.volume..ul.","Deep.Pool","Deep.Pool.vol","Instrument.model","combined.sample","archive_accession","archive_project","project_name","accession_match","name","latitude"
"ABM007.A","Hamann-Todd Collection at the Cleveland Museum of Natural History",NA,"2001","Pan troglodytes",NA,"male","Adult","","Cameroon","","Abong Mbong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54580000,NA,NA,NA,NA,NA,NA,NA,NA,"NextSeq 500",NA,"ERS3774426","PRJEB34569","FellowsYates2021","match","Cameroon",5.68116800316289
"ABM008.A","Hamann-Todd Collection at the Cleveland Museum of Natural History",NA,"2804","Pan troglodytes",NA,"male","Adult","","Cameroon","","Abong Mbong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23970000,NA,NA,NA,NA,NA,NA,NA,NA,"NextSeq 500",NA,"ERS3774427","PRJEB34569","FellowsYates2021","match","Cameroon",5.68116800316289
"BIT001.A","RMCA",NA,"86.044-M-0003","Gorilla beringei",NA,"male","Adult","1986","Democratic Republic of the Congo","","Bitule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640900000,NA,NA,NA,NA,NA,NA,NA,NA,"NextSeq 500",NA,"ERS3774407","PRJEB34569","FellowsYates2021","match","Democratic Republic of the Congo",-2.86548803140687
"Chimp","The Royal College of Surgeons",NA,"810","Pan troglodytes",NA,"","","","Sierra Leone","","Gola Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illumina HiSeq 2500",NA,"SRS7890499","PRJNA685265","Weyrich2017","match","Sierra Leone",8.56249232471683
"DJA002.A","Hamann-Todd Collection at the Cleveland Museum of Natural History",NA,"3415","Gorilla gorilla",NA,"male","Adult","","Cameroon","","Djaposten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13750000,NA,NA,NA,NA,NA,NA,NA,NA,"NextSeq 500",NA,"ERS3774400","PRJEB34569","FellowsYates2021","match","Cameroon",5.68116800316289
"DJA006.A","Hamann-Todd Collection at the Cleveland Museum of Natural History",NA,"3537","Pan troglodytes",NA,"male","Adult","","Cameroon","","Djaposten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96230000,NA,NA,NA,NA,NA,NA,NA,NA,"NextSeq 500",NA,"ERS3774428","PRJEB34569","FellowsYates2021","match","Cameroon",5.68116800316289
"DJA007.A","Hamann-Todd Collection at the Cleveland Museum of Natural History",NA,"3538","Pan troglodytes",NA,"female","Adult","","Cameroon","","Djaposten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202400000,NA,NA,NA,NA,NA,NA,NA,NA,"NextSeq 500",NA,"ERS3774429","PRJEB34569","FellowsYates2021","match","Cameroon",5.68116800316289
"DM_002","Adametz collection","20230217","A 284","Sus domesticus","Sus s. f. domestica; Schweinekreunzungen","male",NA,"<1940",NA,NA,NA,NA,"mandible incisor and left side molars",20230627,0.016,"20.8","20230628",NA,"20230629","20","9","2","1","1",181097694.071958,"20230906",12,11,45695244615.6581,"Pool A",3,"Pool U",2,"Illumina NovaSeq X Plus",FALSE,"ERS25126008","PRJEB91453","Moraitou2025 and this study","match",NA,NA
"DM_003","Adametz collection","20230217","E 1042 (large tusks)","Sus scrofa","Sardinischen Wildschwein aus Schönbrunn 32","",NA,"<1940",NA,NA,NA,NA,"upper molars",20230627,0.019,"13.2","20230628",NA,"20230629","20","8","7","1","1",452550927.831515,"20230720",12,10,109898339441.223,"Pool A",2,"Pool S",3,"Illumina NovaSeq X Plus",FALSE,"ERS25126009","PRJEB91453","Moraitou2025 and this study","match","Austria",47.5922934429587
"DM_004","Adametz collection","20230217","E 1042 (no tusks)","Sus scrofa","Sardinischen Wildschwein aus Schönbrunn 32","",NA,"<1940",NA,NA,NA,NA,NA,20230627,0.029,"29.4","20230628",NA,"20230629","20","8","9","1","1",447491665.983996,"20230720",12,10,78966928145.7684,"Pool A",3,"Pool S",4,"Illumina NovaSeq X Plus",FALSE,"ERS25126010","PRJEB91453","Moraitou2025 and this study","match","Austria",47.5922934429587
