bin,Sample,Museum,Species,Sex,Age,Year,Country,Region,Oral.health,GenomeBin,Specific lineage dataset,%Complete (specific),%Complete and single-copy (specific),%Complete and duplicated (specific),%Fragmented (specific),%Missing (specific),Total number (specific),Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,Unnamed: 32,min,q1,mean,median,q3,max,bin_type,bin_path,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,classification,closest_genome_reference,closest_genome_reference_radius,closest_genome_taxonomy,closest_genome_ani,closest_genome_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,other_related_references(genome_id;species_name;radius;ANI;AF),msa_percent,translation_table,red_value,warnings
MEGAHIT-MetaBAT2Refined-DM_019.3.fa.gz,DM_019,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_019.3.fa.gz,bacteria_odb10,12.9,12.9,0.0,16.1,71.0,124,MEGAHIT-MetaBAT2Refined-DM_019.3.fa.gz,279,279,94,21,0,0,1298002,1298002,765701,252656,0,0,279,15909,1298002,57.95,5855,3370,73,145,0.0,0 + 0 part,,0.016,0.105,0.1641935483870968,0.149,0.192,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_019.3.fa.gz,p__Euryarchaeota (UID3),148,187,124,11,173,3,0,0,0,93.66,2.02,33.33,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__,,,,,,GCA_002503545.1,95.0,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp002503545,89.62,0.592,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__,taxonomic classification defined by topology and ANI,,GCF_000300255.2; s__Methanomethylophilus alvus; 95.0; 85.26; 0.259,87.12,11.0,0.98662,Genome not assigned to closest species as it falls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-DM_019.5.fa.gz,DM_019,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_019.5.fa.gz,bacteria_odb10,78.2,77.4,0.8,6.5,15.3,124,MEGAHIT-MetaBAT2Refined-DM_019.5.fa.gz,439,439,200,80,6,0,2836861,2836861,2108399,1260389,178575,0,439,33092,2836861,50.68,8790,4875,97,204,0.0,0 + 0 part,,0.0,0.083,0.1402186788154897,0.127,0.17,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_019.5.fa.gz,o__Actinomycetales (UID1812),229,457,227,42,404,11,0,0,0,93.2,2.94,54.55,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,80.95,11.0,0.98024,
MEGAHIT-MetaBAT2Refined-DM_019.6.fa.gz,DM_019,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_019.6.fa.gz,bacteria_odb10,96.0,96.0,0.0,1.6,2.4,124,MEGAHIT-MetaBAT2Refined-DM_019.6.fa.gz,220,220,142,89,22,2,2433551,2433551,2188547,1805681,804111,119784,220,65594,2433551,43.0,15470,9774,44,91,0.0,0 + 0 part,,0.002,0.126,0.1585863636363636,0.153,0.181,0.498,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_019.6.fa.gz,f__Pasteurellaceae (UID4932),83,767,440,26,731,10,0,0,0,97.79,1.63,20.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Glaesserella;s__,,,,,,,,,,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Glaesserella;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,95.37,11.0,0.98085,
MEGAHIT-MetaBAT2Refined-DM_019.8.fa.gz,DM_019,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_019.8.fa.gz,bacteria_odb10,70.1,68.5,1.6,15.3,14.6,124,MEGAHIT-MetaBAT2Refined-DM_019.8.fa.gz,645,645,90,7,0,0,2111910,2111910,616931,75977,0,0,645,11764,2111910,37.17,3717,2424,194,372,0.0,0 + 0 part,,0.0,0.104,0.3060294573643411,0.192,0.361,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_019.8.fa.gz,k__Bacteria (UID2570),433,273,183,44,220,9,0,0,0,81.4,3.3,11.11,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__JAFADY01;s__,,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__JAFADY01;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,72.99,11.0,0.95634,
MEGAHIT-MaxBin2Refined-RM_096.002.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_096.002.fa.gz,bacteria_odb10,94.3,93.5,0.8,0.8,4.9,124,MEGAHIT-MaxBin2Refined-RM_096.002.fa.gz,205,205,136,86,23,4,2441486,2441486,2259927,1889387,866750,250883,205,75507,2441486,48.6,19826,10527,39,81,0.0,1 + 0 part,,0.063,0.254,0.3150731707317073,0.294,0.332,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_096.002.fa.gz,c__Gammaproteobacteria (UID4387),965,277,177,6,266,5,0,0,0,98.31,1.84,20.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Basfia_A;s__,,,,,,,,,,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Basfia_A;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,93.6,11.0,0.97077,
MEGAHIT-MaxBin2Refined-RM_096.008.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_096.008.fa.gz,bacteria_odb10,73.4,71.8,1.6,10.5,16.1,124,MEGAHIT-MaxBin2Refined-RM_096.008.fa.gz,664,664,72,1,0,0,1776032,1776032,458530,10274,0,0,664,10274,1776032,44.54,3258,2013,181,358,0.0,0 + 1 part,,0.0,0.155,0.3554834337349397,0.256,0.43825,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_096.008.fa.gz,k__Bacteria (UID2569),434,278,186,39,228,11,0,0,0,83.61,4.04,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__,,,,,,GCA_000163695.1,95.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__F0058 sp000163695,90.84,0.592,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_905372135.1; s__F0058 sp905372135; 95.0; 88.81; 0.17,73.96,11.0,0.99568,Genome not assigned to closest species as it falls outside its pre-defined ANI radius
MEGAHIT-MaxBin2Refined-RM_096.011.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MaxBin2Refined-RM_096.011.fa.gz,bacteria_odb10,41.1,38.7,2.4,27.4,31.5,124,MEGAHIT-MaxBin2Refined-RM_096.011.fa.gz,1017,1017,9,0,0,0,1819638,1819638,52752,0,0,0,1017,8512,1819638,58.78,1839,1363,335,626,0.0,0 + 0 part,,0.0,0.179,0.4927944936086529,0.389,0.917,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-RM_096.011.fa.gz,f__Veillonellaceae (UID1033),26,623,289,231,342,47,3,0,0,57.86,5.77,3.57,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Centipeda;s__,,,,,,,,,,,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Centipeda;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,44.59,11.0,0.97575,
MEGAHIT-MetaBAT2Refined-RM_096.10.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_096.10.fa.gz,bacteria_odb10,75.0,75.0,0.0,5.6,19.4,124,MEGAHIT-MetaBAT2Refined-RM_096.10.fa.gz,373,373,178,64,1,0,2314713,2314713,1700104,879362,28531,0,373,28531,2314713,57.49,8106,4826,95,186,0.0,0 + 0 part,,0.0,0.148,0.3159758713136729,0.23,0.383,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_096.10.fa.gz,f__Actinomycetaceae (UID1531),42,420,211,30,377,12,1,0,0,93.71,3.66,33.33,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__,,,,,,,,,,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,82.18,11.0,0.95009,
MEGAHIT-MetaBAT2Refined-RM_096.3.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_096.3.fa.gz,bacteria_odb10,63.7,63.7,0.0,10.5,25.8,124,MEGAHIT-MetaBAT2Refined-RM_096.3.fa.gz,438,438,99,13,0,0,1696857,1696857,750763,166851,0,0,438,20052,1696857,38.66,4494,2852,120,236,0.0,0 + 0 part,,0.0,0.141,0.2831689497716895,0.211,0.33,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_096.3.fa.gz,g__Streptococcus (UID559),118,610,282,106,493,10,1,0,0,83.16,1.83,23.08,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,,,,,,,,,,,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_023167545.1; s__Streptococcus constellatus; 95.0; 90.51; 0.576; GCF_902167705.1; s__Streptococcus constellatus_A; 95.0; 89.92; 0.564; GCA_021184285.1; s__Streptococcus vaginalis; 95.0; 89.23; 0.466; GCF_900636475.1; s__Streptococcus anginosus; 95.0; 89.11; 0.481; GCF_014287335.1; s__Streptococcus hominis; 95.0; 88.55; 0.468; GCF_000413475.1; s__Streptococcus intermedius; 95.0; 88.05; 0.457,74.1,11.0,0.99037,Genome not assigned to closest species as it falls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-RM_096.4.fa.gz,RM_096,RMCA,Piliocolobus foai,female,M3,<1913?,Congo (DR),,,MEGAHIT-MetaBAT2Refined-RM_096.4.fa.gz,bacteria_odb10,91.9,86.3,5.6,1.6,6.5,124,MEGAHIT-MetaBAT2Refined-RM_096.4.fa.gz,271,271,162,72,10,1,2332438,2332438,1984670,1334490,353944,55582,271,55582,2332438,41.76,12368,6745,57,123,0.0,0 + 0 part,,0.033,0.1895,0.3275867158671586,0.278,0.39,0.99,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-RM_096.4.fa.gz,o__Lactobacillales (UID544),293,475,267,25,436,13,1,0,0,94.79,1.89,12.5,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,,,,,,,,,,,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,83.69,11.0,0.97621,
